ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1202,384,1279,719,77,335,-452.135,-205.533,51.679,53.733,42.717,103.357,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,1160,638,1279,719,119,81,-451.286,-266.381,16.701,41.178,44.003,33.401,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,914,0,1279,719,365,719,-453.044,-339.943,74.248,67.017,71.473,148.496,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,683,293,909,719,226,426,-333.315,-301.967,65.431,35.569,77.215,130.901,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,StaticMesh_SM_Bedroom_Bedstool_001V,1062,492,1257,662,195,170,-389.058,-119.485,21.470,38.388,120.679,42.356,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,StaticMesh_SM_TargetActor_Basket_002V,1080,430,1169,547,89,117,-333.684,13.185,32.525,36.316,36.289,65.049,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Alarmclock_001V,StaticMesh_SM_Bedroom_Alarmclock_001V,1100,423,1143,437,43,14,-334.368,7.033,68.558,18.959,12.833,7.018,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,1125,227,1184,287,59,60,-347.559,21.355,177.198,29.327,2.099,34.114,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,318,689,506,719,188,30,-380.971,-450.241,50.116,21.813,21.813,4.653,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,511,674,812,719,301,45,-379.268,-400.905,16.701,41.178,44.003,33.401,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,173,667,677,719,504,52,-386.131,-451.758,23.894,54.913,54.894,47.789,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,582,249,763,719,181,470,-332.729,-359.734,69.863,38.182,38.261,139.088,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,172,483,615,719,443,236,-322.637,-429.052,36.951,18.070,100.152,73.777,-480.995,-480.133,110.000,0.401,36.286,-0.049
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,368,0,1067,719,699,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-480.995,-480.133,110.000,0.401,36.286,-0.049
