ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1140,375,1279,719,139,344,-452.135,-205.533,51.679,53.733,42.717,103.357,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,1004,653,1279,719,275,66,-451.286,-266.381,16.701,41.178,44.003,33.401,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,632,0,1279,719,647,719,-453.044,-339.943,74.248,67.017,71.473,148.496,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,609,286,848,710,239,424,-333.315,-301.967,65.431,35.569,77.215,130.901,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,1267,364,1279,607,12,243,-387.470,15.503,52.212,52.235,31.628,104.424,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,1223,190,1279,264,56,74,-347.559,21.355,177.198,29.327,2.099,34.114,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,120,617,278,711,158,94,-380.971,-450.241,50.116,21.813,21.813,4.653,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,360,634,584,719,224,85,-379.268,-400.905,16.701,41.178,44.003,33.401,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,0,608,354,719,354,111,-386.131,-451.758,23.894,54.913,54.894,47.789,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,501,250,652,719,151,469,-332.729,-359.734,69.863,38.182,38.261,139.088,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,112,461,513,719,401,258,-322.637,-429.052,36.951,18.070,100.152,73.777,-530.075,-422.812,110.000,-0.508,23.700,0.057
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,313,0,1137,719,824,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-530.075,-422.812,110.000,-0.508,23.700,0.057
