ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1097,430,1279,719,182,289,-452.135,-205.533,51.679,53.733,42.717,103.357,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,544,9,1254,719,710,710,-453.044,-339.943,74.248,67.017,71.473,148.496,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,570,341,818,719,248,378,-333.315,-301.967,65.431,35.569,77.215,130.901,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,1260,418,1279,677,19,259,-387.470,15.503,52.212,52.235,31.628,104.424,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,1204,244,1278,317,74,73,-347.559,21.355,177.198,29.327,2.099,34.114,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,14,677,200,719,186,42,-380.971,-450.241,50.116,21.813,21.813,4.653,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,253,698,507,719,254,21,-379.268,-400.905,16.701,41.178,44.003,33.401,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,0,669,285,719,285,50,-386.131,-451.758,23.894,54.913,54.894,47.789,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,455,306,606,719,151,413,-332.729,-359.734,69.863,38.182,38.261,139.088,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,32,517,466,719,434,202,-322.637,-429.052,36.951,18.070,100.152,73.777,-537.861,-406.464,110.000,4.337,22.522,0.065
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,257,0,1135,719,878,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-537.861,-406.464,110.000,4.337,22.522,0.065
