ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1135,386,1279,719,144,333,-452.135,-205.533,51.679,53.733,42.717,103.357,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,1012,658,1279,719,267,61,-451.286,-266.381,16.701,41.178,44.003,33.401,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,654,0,1279,719,625,719,-453.044,-339.943,74.248,67.017,71.473,148.496,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,610,297,846,719,236,422,-333.315,-301.967,65.431,35.569,77.215,130.901,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,1242,375,1279,609,37,234,-387.470,15.503,52.212,52.235,31.628,104.424,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,1195,208,1264,278,69,70,-347.559,21.355,177.198,29.327,2.099,34.114,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,132,632,287,719,155,87,-380.971,-450.241,50.116,21.813,21.813,4.653,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,366,646,599,719,233,73,-379.268,-400.905,16.701,41.178,44.003,33.401,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,0,622,374,719,374,97,-386.131,-451.758,23.894,54.913,54.894,47.789,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,503,261,656,719,153,458,-332.729,-359.734,69.863,38.182,38.261,139.088,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,108,472,517,719,409,247,-322.637,-429.052,36.951,18.070,100.152,73.777,-527.519,-430.614,110.000,0.456,25.628,0.006
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,318,0,1116,719,798,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-527.519,-430.614,110.000,0.456,25.628,0.006
