ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,980,377,1213,719,233,342,-452.135,-205.533,51.679,53.733,42.717,103.357,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,StaticMesh_SM_Bedroom_Backpack_001V,1199,609,1279,719,80,110,-502.841,-267.855,25.441,31.469,34.459,50.900,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,913,607,1145,719,232,112,-451.286,-266.381,16.701,41.178,44.003,33.401,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,638,0,1180,719,542,719,-453.044,-339.943,74.248,67.017,71.473,148.496,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,508,289,736,719,228,430,-333.315,-301.967,65.431,35.569,77.215,130.901,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,1007,367,1118,547,111,180,-387.470,15.503,52.212,52.235,31.628,104.424,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,973,232,1021,288,48,56,-347.559,21.355,177.198,29.327,2.099,34.114,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,StaticMesh_SM_Bedroom_Couch_001V,1106,384,1279,623,173,239,-469.525,-9.054,47.477,90.994,80.798,94.953,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,0,691,193,719,193,28,-380.971,-450.241,50.116,21.813,21.813,4.653,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,265,665,561,719,296,54,-379.268,-400.905,16.701,41.178,44.003,33.401,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,0,667,350,719,350,52,-386.131,-451.758,23.894,54.913,54.894,47.789,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,394,244,572,719,178,475,-332.729,-359.734,69.863,38.182,38.261,139.088,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,0,478,419,719,419,241,-322.637,-429.052,36.951,18.070,100.152,73.777,-506.039,-454.462,110.000,-0.070,42.432,-0.036
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,155,0,918,719,763,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-506.039,-454.462,110.000,-0.070,42.432,-0.036
