ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,530,411,677,696,147,285,-553.371,-792.199,51.679,53.733,42.717,103.357,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,StaticMesh_SM_TargetActor_Chair_002V,696,431,820,682,124,251,-492.369,-807.944,46.881,42.970,50.332,93.537,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Workdesk_003V,StaticMesh_SM_Bedroom_Workdesk_003V,776,511,801,555,25,44,-479.907,-792.653,54.682,8.046,8.041,16.005,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Workdesk_003V,StaticMesh_SM_Bedroom_Workdesk_003V,1174,451,1209,489,35,38,-294.427,-819.068,77.243,8.041,8.046,16.005,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Workdesk_003V,StaticMesh_SM_Bedroom_Workdesk_003V,843,459,867,496,24,37,-442.302,-824.236,73.114,8.041,8.046,16.005,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,StaticMesh_SM_Bedroom_Backpack_001V,938,536,1074,694,136,158,-396.562,-789.982,25.441,34.459,31.469,50.900,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,1072,528,1163,552,91,24,-341.291,-802.480,50.116,21.813,21.813,4.653,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Cup_001V,StaticMesh_SM_TargetActor_Cup_001V,1136,458,1180,483,44,25,-292.041,-840.853,74.411,12.833,9.839,10.465,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Cup_001V,StaticMesh_SM_TargetActor_Cup_001V,1152,461,1197,487,45,26,-293.533,-829.512,74.411,9.839,12.833,10.465,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_ComputerMouse_001V,StaticMesh_SM_TargetActor_ComputerMouse_001V,1125,472,1153,483,28,11,-301.191,-840.767,71.092,5.445,10.000,3.815,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,1006,531,1241,692,235,161,-343.212,-803.917,23.894,54.894,54.913,47.789,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,StaticMesh_SM_TargetActor_Basket_002V,830,492,948,667,118,175,-433.164,-815.115,32.525,36.316,36.289,65.049,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,99,426,558,696,459,270,-660.568,-810.946,47.477,158.131,80.798,94.953,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,691,469,911,634,220,165,-465.159,-842.300,36.951,100.152,18.070,73.777,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,StaticMesh_SM_TargetActor_Fan_001V,891,387,1028,654,137,267,-394.800,-830.827,56.963,40.384,40.904,113.934,-538.271,-529.209,110.000,3.267,-90.457,-0.020
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_WallLamp_002V,StaticMesh_SM_TargetActor_WallLamp_002V,944,275,993,319,49,44,-380.234,-841.355,158.016,13.327,19.634,18.826,-538.271,-529.209,110.000,3.267,-90.457,-0.020
