ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1061,422,1279,719,218,297,-452.135,-205.533,51.679,53.733,42.717,103.357,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,930,704,1279,719,349,15,-451.286,-266.381,16.701,41.178,44.003,33.401,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,534,3,1213,719,679,716,-453.044,-339.943,74.248,67.017,71.473,148.496,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,547,333,791,719,244,386,-333.315,-301.967,65.431,35.569,77.215,130.901,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,1203,410,1279,651,76,241,-387.470,15.503,52.212,52.235,31.628,104.424,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,1152,245,1220,314,68,69,-347.559,21.355,177.198,29.327,2.099,34.114,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,0,679,170,719,170,40,-380.971,-450.241,50.116,21.813,21.813,4.653,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,234,693,492,719,258,26,-379.268,-400.905,16.701,41.178,44.003,33.401,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,0,668,259,719,259,51,-386.131,-451.758,23.894,54.913,54.894,47.789,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,431,297,586,719,155,422,-332.729,-359.734,69.863,38.182,38.261,139.088,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,0,511,443,719,443,208,-322.637,-429.052,36.951,18.070,100.152,73.777,-535.922,-410.784,110.000,3.703,25.706,0.099
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,226,0,1086,719,860,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-535.922,-410.784,110.000,3.703,25.706,0.099
