ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,608,431,756,719,148,288,-553.371,-792.199,51.679,53.733,42.717,103.357,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,StaticMesh_SM_TargetActor_Chair_002V,771,451,908,717,137,266,-492.369,-807.944,46.881,42.970,50.332,93.537,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Workdesk_003V,StaticMesh_SM_Bedroom_Workdesk_003V,858,535,885,582,27,47,-479.907,-792.653,54.682,8.046,8.041,16.005,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Workdesk_003V,StaticMesh_SM_Bedroom_Workdesk_003V,928,481,955,521,27,40,-442.302,-824.236,73.114,8.041,8.046,16.005,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,StaticMesh_SM_Bedroom_Backpack_001V,1035,564,1198,719,163,155,-396.562,-789.982,25.441,34.459,31.469,50.900,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,1188,560,1279,588,91,28,-341.291,-802.480,50.116,21.813,21.813,4.653,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Cup_001V,StaticMesh_SM_TargetActor_Cup_001V,1261,484,1279,512,18,28,-292.041,-840.853,74.411,12.833,9.839,10.465,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_ComputerMouse_001V,StaticMesh_SM_TargetActor_ComputerMouse_001V,1249,499,1279,511,30,12,-301.191,-840.767,71.092,5.445,10.000,3.815,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,1111,560,1279,719,168,159,-343.212,-803.917,23.894,54.894,54.913,47.789,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,StaticMesh_SM_TargetActor_Basket_002V,914,516,1050,707,136,191,-433.164,-815.115,32.525,36.316,36.289,65.049,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,208,444,632,717,424,273,-660.568,-810.946,47.477,158.131,80.798,94.953,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,766,490,1006,669,240,179,-465.159,-842.300,36.951,100.152,18.070,73.777,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,StaticMesh_SM_TargetActor_Fan_001V,977,406,1142,697,165,291,-394.800,-830.827,56.963,40.384,40.904,113.934,-541.543,-528.316,110.000,5.014,-96.348,0.021
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_WallLamp_002V,StaticMesh_SM_TargetActor_WallLamp_002V,1033,287,1090,334,57,47,-380.234,-841.355,158.016,13.327,19.634,18.826,-541.543,-528.316,110.000,5.014,-96.348,0.021
